Tipe,BrandName,Seat,Luggage,Transmission,"Fuel Type",Price/Hour,Price/Day,PriceOtherLocation(Pickup&Dropoff),Stock
car,"facilis Myrtle Thiel DVM",4,3,manual,"94 ron",120415,282072,100000,4
car,"consequuntur Mr. Gabriel Hayes DVM",5,5,manual,"91 ron",121191,495471,100000,6
car,"maxime Ms. Estrella Skiles I",5,5,automatic,"94 ron",177364,958982,100000,5
car,"assumenda Jessy Shanahan",4,9,manual,"91 ron",164138,517274,100000,7
car,"rerum Johann Welch",8,3,manual,"92 ron",182606,940298,100000,2
car,"et Enid Ledner",8,9,automatic,diesel,59539,800397,100000,5
car,"non Conner Harvey",4,3,manual,diesel,128019,611378,100000,3
car,"magni Erna Turcotte",4,6,automatic,diesel,148860,531160,100000,5
car,"ut Emmalee Runte",4,9,manual,"94 ron",107806,300402,100000,2
car,"quam Will Emard",7,8,automatic,"91 ron",180006,201325,100000,3
car,"error Ms. Destini Bins",9,3,automatic,"91 ron",75240,646384,100000,2
car,"excepturi Belle Shanahan",4,5,manual,"91 ron",85069,539813,100000,2
car,"sunt Ilene Ledner",7,7,automatic,"92 ron",178912,971590,100000,3
car,"totam Ms. Belle Dach III",8,4,manual,diesel,151725,397330,100000,2
car,"dolor Miss Luisa Abernathy V",5,8,automatic,diesel,171111,957663,100000,3
car,"corrupti Angel Heaney",6,7,automatic,"92 ron",140071,511387,100000,7
car,"harum Rubye Kuvalis",5,3,manual,diesel,98935,764298,100000,3
car,"dicta Angelo Christiansen",4,4,automatic,diesel,146159,287499,100000,3
car,"quidem Lesly Eichmann",6,4,manual,"92 ron",181691,287648,100000,5
car,"harum Murl Wunsch",8,4,manual,"94 ron",82523,294899,100000,4
car,"corrupti Tommie Anderson",8,10,manual,"92 ron",67426,641836,100000,7
car,"et Gerard Luettgen",6,7,automatic,"91 ron",117407,942373,100000,3
car,"sint Mr. Randi Gulgowski",7,3,manual,"92 ron",180422,238041,100000,7
car,"ab Russell Howe",8,8,automatic,"91 ron",176548,998723,100000,6
car,"molestiae Laurianne Steuber",5,10,automatic,"91 ron",183606,418709,100000,6
car,"nisi Haley Anderson",4,5,manual,diesel,175655,891664,100000,5
car,"sapiente Adelbert Quitzon",4,3,automatic,"91 ron",68392,993743,100000,7
car,"sed Adolfo Bayer",5,10,automatic,diesel,191512,719167,100000,5
car,"id Destany Conroy Sr.",8,7,automatic,"91 ron",103091,245738,100000,5
car,"tempora Lesly Kohler",9,8,automatic,"94 ron",91405,821828,100000,2
car,"dolorem Dora Renner",8,5,automatic,"91 ron",116476,926242,100000,4
car,"eum Alexanne Zemlak I",8,9,automatic,"92 ron",182978,415917,100000,4
car,"quia Ken McLaughlin",6,10,manual,"91 ron",180908,533327,100000,3
car,"consequatur Boyd Kohler",6,8,manual,"91 ron",105379,540170,100000,4
car,"et Lawson Brown",9,8,manual,"94 ron",57455,635302,100000,5
car,"et Susie Grant DVM",8,9,manual,"91 ron",92072,902344,100000,5
car,"distinctio Immanuel Haley V",8,7,manual,"91 ron",156298,453703,100000,6
car,"id Lionel Ritchie",9,6,manual,"94 ron",142231,957004,100000,3
car,"iure Amelie Waelchi",7,7,automatic,diesel,140810,887967,100000,3
car,"quae Theo Ruecker",6,7,automatic,diesel,76470,440166,100000,3
car,"modi Edythe Koch",7,5,manual,diesel,141321,479320,100000,6
car,"sequi Stephania Jacobson",9,3,automatic,"94 ron",120334,678130,100000,5
car,"amet Prof. Gaylord Auer PhD",9,4,manual,"91 ron",187132,253464,100000,7
car,"voluptas Clifton Jast",8,3,manual,"91 ron",83460,633712,100000,3
car,"nam Herta Stroman",9,9,automatic,diesel,178125,398293,100000,3
car,"aperiam Prof. Tyrel Tromp",9,7,automatic,"92 ron",124464,851011,100000,3
car,"quis Dallin Dooley",7,9,automatic,diesel,143866,227797,100000,3
car,"blanditiis Prof. Jazmin Kohler",7,10,automatic,"91 ron",133963,515327,100000,4
car,"velit Evert Blanda",7,7,manual,"92 ron",56560,529546,100000,3
car,"qui Prof. Eulalia Cummings",8,6,manual,"92 ron",74834,446996,100000,7
